perf,Performance,e,d,nm,norm,bs,seed
"[0.1147, 0.1231, 0.1144, 0.1037, 0.0992, 0.1813, 0.3744, 0.3419, 0.3196, 0.2627, 0.3611, 0.4747, 0.5217, 0.5149, 0.5726]",0.5364,BoundedPareto-0-StrongForAll,0.001,9.74,1.0,143,45
"[0.1161, 0.1513, 0.1066, 0.1211, 0.1245, 0.375, 0.4692, 0.5471, 0.4148, 0.3542, 0.5135, 0.6308, 0.6458, 0.5987, 0.6419]",0.6288,BoundedPareto-0-Dropout,0.001,9.74,1.0,118,45
"[0.1715, 0.3509, 0.3447, 0.4969, 0.5037, 0.6396, 0.8018, 0.7767, 0.5715, 0.5233, 0.6538, 0.8169, 0.8224, 0.7663, 0.7428]",0.7772,BoundedMixGauss-0-Ours,0.001,9.74,1.0,418,45
"[0.1147, 0.1231, 0.1144, 0.1037, 0.0992, 0.1813, 0.3744, 0.3419, 0.3196, 0.2627, 0.3611, 0.4747, 0.5217, 0.5149, 0.5726]",0.5364,BoundedMixGauss-0-StrongForAll,0.001,9.74,1.0,143,45
"[0.1072, 0.1519, 0.1059, 0.1463, 0.3148, 0.5056, 0.5935, 0.6489, 0.4735, 0.3862, 0.5318, 0.7006, 0.7461, 0.664, 0.6654]",0.6918,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,178,45
"[0.1913, 0.1425, 0.5617, 0.7496, 0.7146, 0.823, 0.7947, 0.7759, 0.6954, 0.8452, 0.8781, 0.8027, 0.8855, 0.8833, 0.8426]",0.8705,PrivacyFree,,,,128,46
"[0.199, 0.1726, 0.3839, 0.5644, 0.6138, 0.6857, 0.6871, 0.7027, 0.6126, 0.7356, 0.7295, 0.7147, 0.7378, 0.7948, 0.7725]",0.7684,ThreeLevels-0-Ours,0.001,9.74,1.0,421,46
"[0.1611, 0.1413, 0.1735, 0.1948, 0.1845, 0.2398, 0.1995, 0.3237, 0.341, 0.3797, 0.3366, 0.4629, 0.475, 0.4234, 0.5247]",0.4744,ThreeLevels-0-StrongForAll,0.001,9.74,1.0,143,46
"[0.1788, 0.1772, 0.192, 0.313, 0.408, 0.4847, 0.5116, 0.544, 0.491, 0.5265, 0.5558, 0.5945, 0.5858, 0.5659, 0.6515]",0.6011,ThreeLevels-0-Dropout,0.001,9.74,1.0,172,46
"[0.1971, 0.1841, 0.2336, 0.4557, 0.5437, 0.6148, 0.6448, 0.6411, 0.5504, 0.6548, 0.6603, 0.6644, 0.6718, 0.7015, 0.7234]",0.6989,BoundedPareto-0-Ours,0.001,9.74,1.0,280,46
"[0.1611, 0.1413, 0.1735, 0.1948, 0.1845, 0.2398, 0.1995, 0.3237, 0.341, 0.3797, 0.3366, 0.4629, 0.475, 0.4234, 0.5247]",0.4744,BoundedPareto-0-StrongForAll,0.001,9.74,1.0,143,46
"[0.1493, 0.1553, 0.1814, 0.2478, 0.2887, 0.3998, 0.3321, 0.3996, 0.4319, 0.433, 0.4653, 0.523, 0.5312, 0.4542, 0.5784]",0.5213,BoundedPareto-0-Dropout,0.001,9.74,1.0,118,46
"[0.2015, 0.1664, 0.3886, 0.5268, 0.5965, 0.6907, 0.6869, 0.6826, 0.6188, 0.7356, 0.7366, 0.7114, 0.7235, 0.7798, 0.7698]",0.7577,BoundedMixGauss-0-Ours,0.001,9.74,1.0,430,46
"[0.1611, 0.1413, 0.1735, 0.1948, 0.1845, 0.2398, 0.1995, 0.3237, 0.341, 0.3797, 0.3366, 0.4629, 0.475, 0.4234, 0.5247]",0.4744,BoundedMixGauss-0-StrongForAll,0.001,9.74,1.0,143,46
"[0.1951, 0.1776, 0.1909, 0.2981, 0.4052, 0.4749, 0.5059, 0.5513, 0.4865, 0.5177, 0.5359, 0.5976, 0.5656, 0.552, 0.6394]",0.5857,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,168,46
